timestamp,t+1,t+2,t+3
2018-01-02 15:00:00+10:00,231.45666666666662,219.64166666666668,169.0583333333333
2018-01-02 15:30:00+10:00,219.64166666666668,169.0583333333333,136.59666666666666
2018-01-02 16:00:00+10:00,169.0583333333333,136.59666666666666,159.05166666666665
2018-01-02 16:30:00+10:00,136.59666666666666,159.05166666666665,235.61333333333334
2018-01-02 17:00:00+10:00,159.05166666666665,235.61333333333334,165.1783333333333
2018-01-02 17:30:00+10:00,235.61333333333334,165.1783333333333,100.65500000000002
2018-01-02 18:00:00+10:00,165.1783333333333,100.65500000000002,148.19833333333332
2018-01-02 18:30:00+10:00,100.65500000000002,148.19833333333332,49.89666666666667
2018-01-02 19:00:00+10:00,148.19833333333332,49.89666666666667,30.041666666666668
2018-01-02 19:30:00+10:00,49.89666666666667,30.041666666666668,37.58
